date,open,high,low,close
2002-06-03,2.796,2.796,2.796,2.796
2002-06-04,2.75600004,2.75600004,2.75600004,2.75600004
2002-06-05,2.76699996,2.76699996,2.76699996,2.76699996
2002-06-06,2.9000001,2.9000001,2.9000001,2.9000001
2009-07-17,4.05000019,4.05000019,4.05000019,4.05000019
2009-07-20,4.05000019,4.05000019,4.05000019,4.05000019
2009-07-21,4.07999992,4.07999992,4.07999992,4.07999992
2009-07-22,4.25,4.36000013,4.01999998,4.30000019
2009-07-23,4.07999992,4.07999992,4.07999992,4.07999992
2009-07-24,4.05000019,4.05000019,4.05000019,4.05000019
2009-07-27,4.07999992,4.07999992,4.07999992,4.07999992
2009-07-28,4.11999989,4.11999989,4.11999989,4.11999989
2009-07-29,4.07999992,4.07999992,4.07999992,4.07999992
2009-07-30,4.11999989,4.11999989,4.11999989,4.11999989
2009-07-31,4.07999992,4.07999992,4.07999992,4.07999992
2009-08-03,4.07999992,4.07999992,4.07999992,4.07999992
2009-08-04,4.25,4.25,4.25,4.25
2009-08-05,4.19999981,4.19999981,4.19999981,4.19999981
2009-08-06,4.13000011,4.13000011,4.13000011,4.13000011
2009-08-07,4.05000019,4.05000019,4.05000019,4.05000019
2009-08-10,4.19999981,4.19999981,4.19999981,4.19999981
2009-08-11,4.25,4.25,4.25,4.25
2009-08-12,4.1500001,4.1500001,4.1500001,4.1500001
2009-08-13,4.25,4.25,4.25,4.25
2009-08-14,4.25,4.25,4.25,4.25
2009-08-17,4.25,4.25,4.25,4.25
2009-08-18,4.25,4.25,4.25,4.25
2009-08-19,4.25,4.25,4.25,4.25
2009-08-20,4.25,4.25,4.25,4.25
2009-08-21,4.25,4.25,4.25,4.25
2009-08-24,4.25,4.25,4.25,4.25
2009-08-25,4.13999987,4.13999987,4.13999987,4.13999987
2009-08-26,4.25,4.25,4.25,4.25
2009-08-27,4.25,4.25,4.25,4.25
2009-08-28,4.25,4.25,4.25,4.25
2009-08-31,4.25,4.25,4.25,4.25
2009-09-01,4.1500001,4.1500001,4.1500001,4.1500001
2009-09-02,4.25,4.25,4.25,4.25
