date,open,high,low,close
2006-07-27,2.53500009,2.55999994,2.52800012,2.52800012
2006-07-28,2.55999994,2.61999989,2.55500007,2.56800008
2006-07-31,2.6099999,2.625,2.58800006,2.58800006
2006-08-01,2.61500001,2.625,2.56800008,2.56800008
2006-08-02,2.59500003,2.59500003,2.5250001,2.52800012
2006-08-03,2.55999994,2.55999994,2.50300002,2.50300002
2006-08-04,2.53500009,2.53999996,2.4749999,2.49900007
2006-08-07,2.50999999,2.50999999,2.45000005,2.45799994
2006-08-08,2.46000004,2.47000003,2.44499993,2.454
2006-08-09,2.45000005,2.47099996,2.43499994,2.47099996
2006-08-10,2.47000003,2.56500006,2.46000004,2.50699997
2006-08-11,2.5150001,2.60500002,2.46499991,2.4749999
2006-08-14,2.5150001,2.53500009,2.5,2.50300002
2006-08-15,2.52999997,2.53500009,2.4749999,2.47900009
2006-08-16,2.47000003,2.48000002,2.45499992,2.4749999
2006-08-17,2.45499992,2.47000003,2.44499993,2.454
2006-08-18,2.46000004,2.50500011,2.46000004,2.49900007
2006-08-21,2.49000001,2.5,2.44499993,2.47099996
2006-08-22,2.46000004,2.4849999,2.44000006,2.46700001
2006-08-23,2.45499992,2.48000002,2.43499994,2.46199989
2006-08-24,2.46499991,2.4749999,2.4000001,2.43400002
2006-08-25,2.40499997,2.45000005,2.35500002,2.40100002
2006-08-28,2.375,2.40499997,2.33999991,2.40499997
2006-08-29,2.41000009,2.421,2.38499999,2.421
2006-08-30,2.43000007,2.43000007,2.375,2.41700006
2006-08-31,2.39499998,2.46499991,2.38000011,2.43000007
2006-09-01,2.39499998,2.43000007,2.3900001,2.43000007
2006-09-04,2.43000007,2.44499993,2.40499997,2.421
2006-09-05,2.44499993,2.46000004,2.39499998,2.43000007
2006-09-06,2.43499994,2.43499994,2.36999989,2.40899992
2006-09-07,2.40499997,2.41300011,2.375,2.41300011
2006-09-08,2.3900001,2.43000007,2.38499999,2.42499995
2006-09-11,2.40499997,2.40499997,2.3599999,2.38400006
2006-09-12,2.39499998,2.421,2.375,2.421
2006-09-13,2.42000008,2.43499994,2.36999989,2.39199996
2006-09-14,2.3900001,2.41000009,2.375,2.39599991
2006-09-15,2.4000001,2.40899992,2.36999989,2.40899992
2006-09-19,2.42499995,2.44199991,2.41000009,2.44199991
2006-09-20,2.40499997,2.43000007,2.39499998,2.41700006
2006-09-21,2.43000007,2.4749999,2.41000009,2.4460001
2006-09-22,2.46000004,2.46499991,2.35500002,2.38800001
2006-09-25,2.3499999,2.41499996,2.3499999,2.40899992
2006-09-26,2.38000011,2.43000007,2.38000011,2.41700006
2006-09-27,2.43000007,2.46000004,2.42499995,2.44199991
2006-09-28,2.44499993,2.46499991,2.40499997,2.4289999
2006-09-29,2.43000007,2.47000003,2.43000007,2.45000005
2006-10-02,2.5,2.5250001,2.4849999,2.50699997
2006-10-03,2.52999997,2.52999997,2.47000003,2.4749999
2006-10-04,2.48000002,2.52999997,2.48000002,2.49900007
2006-10-05,2.50999999,2.54500008,2.49900007,2.49900007
2006-10-06,2.5250001,2.5250001,2.49499989,2.49900007
2006-10-10,2.54500008,2.56500006,2.50500011,2.50699997
2006-10-11,2.53500009,2.57500005,2.5,2.50699997
2006-10-12,2.53500009,2.56500006,2.51099992,2.51099992
2006-10-13,2.52999997,2.53999996,2.51099992,2.51099992
2006-10-16,2.54500008,2.54500008,2.51600003,2.51600003
2006-10-17,2.53500009,2.55999994,2.49000001,2.51999998
2006-10-20,2.50999999,2.50999999,2.50999999,2.50999999
2006-10-23,2.53999996,2.56500006,2.53299999,2.53299999
2006-10-24,2.55500007,2.57999992,2.5250001,2.54099989
2006-10-25,2.53999996,2.55500007,2.50500011,2.5079999
2006-10-26,2.51999998,2.53500009,2.47000003,2.4749999
2006-10-27,2.50999999,2.50999999,2.44000006,2.46300006
2006-10-30,2.47000003,2.4749999,2.44000006,2.46700001
2006-10-31,2.45499992,2.4749999,2.45499992,2.47099996
2006-11-01,2.47000003,2.47000003,2.43000007,2.44300008
2006-11-02,2.43499994,2.45000005,2.41499996,2.43000007
2006-11-06,2.46499991,2.50500011,2.43499994,2.46300006
2006-11-07,2.4749999,2.48000002,2.45499992,2.46300006
2006-11-08,2.4749999,2.48000002,2.44000006,2.45099998
2006-11-09,2.48000002,2.4849999,2.42499995,2.43799996
2006-11-10,2.41000009,2.43000007,2.41000009,2.42600012
2006-11-13,2.42000008,2.43000007,2.39499998,2.41400003
2006-11-14,2.47000003,2.49000001,2.41499996,2.45499992
2006-11-15,2.45499992,2.46499991,2.41499996,2.43000007
2006-11-16,2.44499993,2.45000005,2.41000009,2.43000007
2006-11-17,2.43000007,2.44499993,2.41499996,2.43799996
2006-11-20,2.45000005,2.45499992,2.41000009,2.42600012
2006-11-21,2.44000006,2.44499993,2.4000001,2.41799998
2006-11-22,2.41499996,2.42000008,2.36999989,2.39299989
2006-11-24,2.38000011,2.41000009,2.3499999,2.41000009
2006-11-27,2.375,2.38000011,2.34500003,2.37599993
2006-11-28,2.36500001,2.3900001,2.3499999,2.37599993
2006-11-29,2.375,2.4000001,2.36999989,2.39299989
2006-11-30,2.38499999,2.39499998,2.32999992,2.37599993
2006-12-01,2.31999993,2.32500005,2.25999999,2.30100012
2006-12-04,2.25500011,2.29699993,2.25,2.29699993
2006-12-05,2.28500009,2.28999996,2.24499989,2.28800011
2006-12-06,2.2750001,2.27999997,2.21000004,2.25900006
2006-12-07,2.24000001,2.29500008,2.2249999,2.27600002
2006-12-08,2.24000001,2.29699993,2.24000001,2.29699993
2006-12-11,2.25999999,2.30500007,2.2349999,2.27999997
2006-12-13,2.20499992,2.25900006,2.20499992,2.25900006
2006-12-14,2.2349999,2.27099991,2.2249999,2.27099991
2006-12-15,2.26999998,2.30500007,2.25999999,2.30500007
2006-12-18,2.27999997,2.33500004,2.2750001,2.31399989
2006-12-19,2.30500007,2.31500006,2.23000002,2.27600002
2006-12-20,2.23000002,2.2420001,2.18499994,2.2420001
2006-12-21,2.20499992,2.25,2.20000005,2.25
2006-12-22,2.2249999,2.24600005,2.19499993,2.24600005
2006-12-25,2.22000003,2.24600005,2.19499993,2.24600005
2006-12-26,2.21000004,2.23300004,2.18000007,2.23300004
2006-12-27,2.2249999,2.26699996,2.21499991,2.26699996
2006-12-28,2.25,2.29699993,2.22000003,2.29699993
2006-12-29,2.27999997,2.32200003,2.25999999,2.32200003
2007-01-04,2.29999995,2.33899999,2.29999995,2.33899999
2007-01-05,2.29500008,2.32999992,2.29500008,2.32999992
2007-01-09,2.32500005,2.35599995,2.32500005,2.35599995
2007-01-10,2.35500002,2.398,2.35500002,2.398
2007-01-11,2.33999991,2.36800003,2.33999991,2.36800003
2007-01-12,2.35500002,2.38100004,2.35500002,2.38100004
2007-01-15,2.3900001,2.39499998,2.35500002,2.38100004
2007-01-16,2.3900001,2.3900001,2.35500002,2.38100004
2007-01-17,2.36500001,2.375,2.32500005,2.35599995
2007-01-18,2.33999991,2.38499999,2.32500005,2.37700009
2007-01-19,2.40499997,2.40499997,2.34899998,2.34899998
2007-01-22,2.36999989,2.41000009,2.36199999,2.36199999
2007-01-23,2.4000001,2.41499996,2.3900001,2.3900001
2007-01-24,2.41499996,2.42000008,2.37800002,2.37800002
2007-01-25,2.42499995,2.44000006,2.36999989,2.36999989
2007-01-26,2.4000001,2.43499994,2.4000001,2.40199995
2007-01-29,2.46000004,2.50999999,2.42499995,2.42600012
2007-01-30,2.48000002,2.48000002,2.41799998,2.41799998
2007-01-31,2.45499992,2.4749999,2.398,2.398
2007-02-01,2.43499994,2.45499992,2.38599992,2.38599992
2007-02-02,2.45000005,2.46499991,2.38199997,2.38199997
2007-02-05,2.42499995,2.42499995,2.36999989,2.37800002
2007-02-06,2.42000008,2.46499991,2.40199995,2.40199995
2007-02-07,2.45000005,2.46499991,2.398,2.398
