date,open,high,low,close
2012-09-11,2.973,2.973,2.973,2.973
2012-09-13,3.0,3.05999994,2.95300007,2.98000002
2012-09-14,3.01999998,3.02099991,2.97000003,3.01999998
2012-09-17,3.01999998,3.01999998,2.97000003,2.97000003
2012-09-18,2.95000005,3.01999998,2.95000005,2.97000003
2012-09-19,3.01999998,3.06999993,2.97000003,3.01999998
2012-09-20,3.01699996,3.01699996,2.97000003,2.99000001
2012-09-21,3.01999998,3.01999998,3.01999998,3.01999998
2012-09-24,3.01900005,3.01900005,3.01600003,3.01600003
2012-09-26,3.01999998,3.01999998,3.01999998,3.01999998
2012-09-27,3.02600002,3.02600002,3.02600002,3.02600002
2012-09-28,3.0,3.0,2.9849999,2.9849999
2012-10-02,3.01999998,3.01999998,2.95000005,3.01999998
2012-10-04,3.01999998,3.01999998,2.94499993,2.96000004
2012-10-05,2.92000008,2.92000008,2.92000008,2.92000008
2012-10-08,2.94000006,3.00999999,2.92000008,3.00999999
2012-10-09,3.00999999,3.00999999,2.8829999,2.8829999
2012-10-10,2.95000005,3.0250001,2.8829999,2.8829999
2012-10-11,2.95000005,2.97000003,2.8829999,2.8829999
2012-10-12,2.95000005,2.98000002,2.88400006,2.96000004
2012-10-15,2.9000001,2.96499991,2.8829999,2.96499991
2012-10-16,2.88599992,3.0,2.8829999,2.8829999
2012-10-17,2.88800001,3.00999999,2.88800001,2.88800001
2012-10-18,2.898,2.96000004,2.898,2.898
2012-10-19,2.93799996,3.08999991,2.93799996,2.93799996
2012-10-22,3.02999997,3.02999997,3.02999997,3.02999997
2012-10-23,3.13000011,3.13000011,3.13000011,3.13000011
2012-10-24,3.0,3.04999995,3.0,3.04999995
2012-10-25,2.94300008,2.99000001,2.94300008,2.94300008
2012-10-26,3.0,3.0999999,3.0,3.00999999
2012-10-29,3.0,3.05100012,2.94799995,3.04999995
2012-10-30,3.05999994,3.05999994,2.94799995,3.0
2012-10-31,2.94799995,3.04999995,2.94799995,2.94799995
