date,open,high,low,close
2006-04-20,4.19199991,4.19199991,4.19199991,4.19199991
2006-04-21,4.20800018,4.20800018,4.20800018,4.20800018
2006-04-24,4.24800014,4.24800014,4.24800014,4.24800014
2006-04-25,4.28999996,4.28999996,4.28999996,4.28999996
2006-04-26,4.33199978,4.33199978,4.33199978,4.33199978
2006-04-27,4.37300014,4.37300014,4.37300014,4.37300014
2006-04-28,4.31699991,4.31699991,4.31699991,4.31699991
2006-05-02,4.29799986,4.29799986,4.29799986,4.29799986
2006-05-03,4.28999996,4.28999996,4.28999996,4.28999996
2006-05-04,4.27199984,4.27199984,4.27199984,4.27199984
2006-05-05,4.30600023,4.30600023,4.30600023,4.30600023
2006-05-08,4.32700014,4.32700014,4.32700014,4.32700014
2006-05-09,4.34000015,4.34000015,4.34000015,4.34000015
2006-05-10,4.34200001,4.34200001,4.34200001,4.34200001
2006-05-11,4.32299995,4.32299995,4.32299995,4.32299995
2006-05-12,4.33400011,4.33400011,4.33400011,4.33400011
2006-05-15,4.32999992,4.32999992,4.32999992,4.32999992
2006-05-16,4.26300001,4.26300001,4.26300001,4.26300001
2006-05-17,4.18100023,4.18100023,4.18100023,4.18100023
2006-05-18,4.22800016,4.22800016,4.22800016,4.22800016
2006-05-19,4.14599991,4.14599991,4.14599991,4.14599991
2006-05-22,4.19199991,4.19199991,4.19199991,4.19199991
2006-05-23,4.17500019,4.17500019,4.17500019,4.17500019
2006-05-24,4.22800016,4.22800016,4.22800016,4.22800016
2006-05-25,4.21799994,4.21799994,4.21799994,4.21799994
2006-05-26,4.20800018,4.20800018,4.20800018,4.20800018
2006-05-30,4.204,4.204,4.204,4.204
2006-05-31,4.21799994,4.21799994,4.21799994,4.21799994
2006-06-01,4.23799992,4.23799992,4.23799992,4.23799992
2006-06-02,4.27299976,4.27299976,4.27299976,4.27299976
2006-06-05,4.2329998,4.2329998,4.2329998,4.2329998
2006-06-06,4.25199986,4.25199986,4.25199986,4.25199986
2006-06-07,4.29699993,4.29699993,4.29699993,4.29699993
2006-06-08,4.29899979,4.29899979,4.29899979,4.29899979
2006-06-09,4.27799988,4.27799988,4.27799988,4.27799988
2006-06-12,4.26599979,4.26599979,4.26599979,4.26599979
2006-06-13,4.22800016,4.22800016,4.22800016,4.22800016
2006-06-14,4.19500017,4.19500017,4.19500017,4.19500017
2006-06-15,4.19000006,4.19000006,4.19000006,4.19000006
2006-06-16,4.26499987,4.26499987,4.26499987,4.26499987
2006-06-19,4.24800014,4.24800014,4.24800014,4.24800014
2006-06-20,4.29099989,4.29099989,4.29099989,4.29099989
2006-06-21,4.34499979,4.34499979,4.34499979,4.34499979
